exact_match_pct,json_path,levenshtein_dist_mean,levenshtein_dist_median,levenshtein_norm_mean,levenshtein_similarity_pct,model_id,model_slug,model_type_guess,n_exact,n_scored,prompt_style,prompt_type,st_combined_all_four_pct,st_combined_caesura_field_pct,st_combined_end_field_pct,st_combined_mean_field_pct,st_combined_meter_field_pct,st_combined_meter_type_field_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_rhyme_field_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,task
0.0,evaluation/baselines/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_combined.json,160.316,173.5,0.796,20.395,HuggingFaceTB/SmolLM-360M-Instruct,HuggingFaceTB_SmolLM-360M-Instruct,causal,0,500,default,zero_shot,0.0,0.0,10.0,2.8,1.2,0.0,500,18.4,0.0,,,combined
0.0,evaluation/baselines/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_meter_only.json,217.884,225.5,0.9956,0.441,HuggingFaceTB/SmolLM-360M-Instruct,HuggingFaceTB_SmolLM-360M-Instruct,causal,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_natural_text.json,171.682,172.0,0.8566,14.344,HuggingFaceTB/SmolLM-360M-Instruct,HuggingFaceTB_SmolLM-360M-Instruct,causal,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_rhyme_only.json,202.016,204.0,0.975,2.498,HuggingFaceTB/SmolLM-360M-Instruct,HuggingFaceTB_SmolLM-360M-Instruct,causal,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/Qwen_Qwen2-7B-Instruct/zero_shot_combined.json,48.52,29.0,0.4692,53.077,Qwen/Qwen2-7B-Instruct,Qwen_Qwen2-7B-Instruct,causal,0,500,default,zero_shot,0.0,9.8,23.6,8.36,0.0,8.4,500,32.0,0.0,,,combined
0.0,evaluation/baselines/Qwen_Qwen2-7B-Instruct/zero_shot_meter_only.json,92.204,121.0,0.8943,10.572,Qwen/Qwen2-7B-Instruct,Qwen_Qwen2-7B-Instruct,causal,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/Qwen_Qwen2-7B-Instruct/zero_shot_natural_text.json,150.655,150.0,0.8249,17.506,Qwen/Qwen2-7B-Instruct,Qwen_Qwen2-7B-Instruct,causal,0,200,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/Qwen_Qwen2-7B-Instruct/zero_shot_rhyme_only.json,218.51,232.5,0.9755,2.45,Qwen/Qwen2-7B-Instruct,Qwen_Qwen2-7B-Instruct,causal,0,200,default,zero_shot,,,,,,,,,,200,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-base/few_shot_combined.json,148.812,143.0,0.8204,17.956,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,few_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,100.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-base/few_shot_meter_only.json,150.546,151.0,0.956,4.399,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-base/few_shot_natural_text.json,215.36,215.0,0.8998,10.015,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-base/few_shot_rhyme_only.json,163.38,162.0,0.9755,2.455,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,few_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-base/one_shot_combined.json,51.972,52.0,0.9201,7.993,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,one_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-base/one_shot_meter_only.json,155.028,150.0,0.9568,4.319,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-base/one_shot_natural_text.json,124.916,123.0,0.8608,13.924,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,one_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-base/one_shot_rhyme_only.json,115.81,116.0,0.9648,3.52,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,one_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-base/zero_shot_combined.json,144.698,145.0,0.7769,22.307,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-base/zero_shot_meter_only.json,42.102,42.0,0.9995,0.051,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-base/zero_shot_natural_text.json,62.852,62.0,0.7996,20.036,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-base/zero_shot_rhyme_only.json,5.434,5.0,1.0,0.0,facebook/bart-base,facebook_bart-base,seq2seq,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-large/few_shot_combined.json,40.408,30.0,0.5382,46.182,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,few_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,100.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-large/few_shot_meter_only.json,137.844,142.0,0.9511,4.89,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-large/few_shot_natural_text.json,227.414,221.0,0.9922,0.783,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-large/few_shot_rhyme_only.json,175.904,176.0,0.9774,2.265,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,few_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-large/one_shot_combined.json,56.526,55.0,0.8555,14.452,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,one_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-large/one_shot_meter_only.json,151.482,152.0,0.9587,4.128,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-large/one_shot_natural_text.json,177.908,186.0,0.9861,1.388,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,one_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-large/one_shot_rhyme_only.json,174.59,177.0,0.9762,2.382,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,one_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/facebook_bart-large/zero_shot_combined.json,13.906,14.0,0.2573,74.267,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/facebook_bart-large/zero_shot_meter_only.json,198.272,197.0,0.9941,0.594,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/facebook_bart-large/zero_shot_natural_text.json,128.9,124.0,0.8268,17.319,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/facebook_bart-large/zero_shot_rhyme_only.json,179.212,179.0,0.9723,2.772,facebook/bart-large,facebook_bart-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/google_flan-t5-base/few_shot_combined.json,24.984,15.0,0.4126,58.742,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,few_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,74.4,0.0,,,combined
0.0,evaluation/baselines/google_flan-t5-base/few_shot_meter_only.json,7.838,5.0,0.4401,55.987,google/flan-t5-base,google_flan-t5-base,seq2seq,0,19816,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-base/few_shot_natural_text.json,35.278,28.0,0.7847,21.531,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/google_flan-t5-base/few_shot_rhyme_only.json,5.28,5.0,0.7618,23.823,google/flan-t5-base,google_flan-t5-base,seq2seq,0,43535,default,few_shot,,,,,,,,,,43535,0.0,rhyme_only
0.0,evaluation/baselines/google_flan-t5-base/one_shot_combined.json,10.422,8.0,0.1885,81.151,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,one_shot,0.0,14.0,0.0,11.2,30.8,0.0,500,95.4,0.0,,,combined
0.071,evaluation/baselines/google_flan-t5-base/one_shot_meter_only.json,7.549,8.0,0.8766,12.343,google/flan-t5-base,google_flan-t5-base,seq2seq,14,19816,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-base/one_shot_natural_text.json,39.64,29.0,0.7954,20.459,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,one_shot,,,,,,,,,,,,natural_text
1.562,evaluation/baselines/google_flan-t5-base/one_shot_rhyme_only.json,4.141,4.0,0.6344,36.557,google/flan-t5-base,google_flan-t5-base,seq2seq,680,43535,default,one_shot,,,,,,,,,,43535,1.562,rhyme_only
0.0,evaluation/baselines/google_flan-t5-base/zero_shot_combined.json,48.914,49.0,0.9073,9.269,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/google_flan-t5-base/zero_shot_meter_only.json,6.018,6.0,0.8531,14.685,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-base/zero_shot_natural_text.json,52.886,37.0,0.7893,21.074,google/flan-t5-base,google_flan-t5-base,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/google_flan-t5-base/zero_shot_rhyme_only.json,6.137,5.0,0.9572,4.284,google/flan-t5-base,google_flan-t5-base,seq2seq,0,43535,default,zero_shot,,,,,,,,,,43535,0.0,rhyme_only
0.0,evaluation/baselines/google_flan-t5-large/few_shot_combined.json,26.112,19.0,0.3694,63.061,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,few_shot,0.0,0.6,5.6,4.4,12.0,3.6,500,49.4,0.2,,,combined
44.0,evaluation/baselines/google_flan-t5-large/few_shot_meter_only.json,1.654,1.0,0.1709,82.91,google/flan-t5-large,google_flan-t5-large,seq2seq,220,500,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-large/few_shot_natural_text.json,31.724,28.0,0.7826,21.74,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.4,evaluation/baselines/google_flan-t5-large/few_shot_rhyme_only.json,3.694,3.0,0.5629,43.708,google/flan-t5-large,google_flan-t5-large,seq2seq,2,500,default,few_shot,,,,,,,,,,500,0.4,rhyme_only
0.0,evaluation/baselines/google_flan-t5-large/one_shot_combined.json,18.62,14.0,0.3415,65.851,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,one_shot,0.0,8.4,0.0,2.5,1.6,0.0,500,9.4,0.0,,,combined
4.269,evaluation/baselines/google_flan-t5-large/one_shot_meter_only.json,2.573,2.0,0.2535,74.653,google/flan-t5-large,google_flan-t5-large,seq2seq,846,19816,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-large/one_shot_natural_text.json,41.868,30.0,0.7891,21.091,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,one_shot,,,,,,,,,,,,natural_text
2.0,evaluation/baselines/google_flan-t5-large/one_shot_rhyme_only.json,3.89,4.0,0.6766,32.337,google/flan-t5-large,google_flan-t5-large,seq2seq,10,500,default,one_shot,,,,,,,,,,500,2.0,rhyme_only
0.0,evaluation/baselines/google_flan-t5-large/zero_shot_combined.json,32.926,44.0,0.61,38.997,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.8,0.0,,,combined
0.0,evaluation/baselines/google_flan-t5-large/zero_shot_meter_only.json,6.018,6.0,0.8531,14.685,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-large/zero_shot_natural_text.json,47.872,36.0,0.7881,21.19,google/flan-t5-large,google_flan-t5-large,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/google_flan-t5-large/zero_shot_rhyme_only.json,6.706,5.0,0.949,5.1,google/flan-t5-large,google_flan-t5-large,seq2seq,0,43535,default,zero_shot,,,,,,,,,,43535,0.0,rhyme_only
0.0,evaluation/baselines/google_flan-t5-small/few_shot_combined.json,71.724,69.0,0.9007,9.928,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,few_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
4.834,evaluation/baselines/google_flan-t5-small/few_shot_meter_only.json,36.461,40.0,0.7476,25.238,google/flan-t5-small,google_flan-t5-small,seq2seq,958,19816,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-small/few_shot_natural_text.json,48.976,31.0,0.8084,19.161,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/google_flan-t5-small/few_shot_rhyme_only.json,15.86,5.0,0.7845,21.548,google/flan-t5-small,google_flan-t5-small,seq2seq,0,43535,default,few_shot,,,,,,,,,,43535,0.276,rhyme_only
0.4,evaluation/baselines/google_flan-t5-small/one_shot_combined.json,22.102,10.0,0.3662,63.38,google/flan-t5-small,google_flan-t5-small,seq2seq,2,500,default,one_shot,0.4,38.0,39.4,23.8,17.0,0.0,500,44.4,0.8,,,combined
6.6,evaluation/baselines/google_flan-t5-small/one_shot_meter_only.json,5.17,5.0,0.7302,26.98,google/flan-t5-small,google_flan-t5-small,seq2seq,33,500,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-small/one_shot_natural_text.json,71.556,60.0,0.8281,17.189,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,one_shot,,,,,,,,,,,,natural_text
0.161,evaluation/baselines/google_flan-t5-small/one_shot_rhyme_only.json,10.692,4.0,0.6729,32.705,google/flan-t5-small,google_flan-t5-small,seq2seq,70,43535,default,one_shot,,,,,,,,,,43535,0.161,rhyme_only
0.0,evaluation/baselines/google_flan-t5-small/zero_shot_combined.json,54.208,54.0,0.9951,0.494,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,0.0,0.0,,,combined
0.0,evaluation/baselines/google_flan-t5-small/zero_shot_meter_only.json,6.314,6.0,0.8591,14.092,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/google_flan-t5-small/zero_shot_natural_text.json,71.666,43.5,0.8345,16.55,google/flan-t5-small,google_flan-t5-small,seq2seq,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/google_flan-t5-small/zero_shot_rhyme_only.json,17.542,7.0,0.9322,6.777,google/flan-t5-small,google_flan-t5-small,seq2seq,0,43535,default,zero_shot,,,,,,,,,,43535,0.0,rhyme_only
0.0,evaluation/baselines/gpt2/few_shot_combined.json,61.69,61.0,0.5581,44.188,gpt2,gpt2,causal,0,500,default,few_shot,0.0,0.0,81.2,29.6,34.8,0.0,500,100.0,2.4,,,combined
0.0,evaluation/baselines/gpt2/few_shot_meter_only.json,201.178,208.0,0.9892,1.078,gpt2,gpt2,causal,0,500,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/gpt2/few_shot_natural_text.json,203.336,209.0,0.8952,10.481,gpt2,gpt2,causal,0,500,default,few_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/gpt2/few_shot_rhyme_only.json,118.376,128.0,0.9698,3.019,gpt2,gpt2,causal,0,500,default,few_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/gpt2/one_shot_combined.json,60.306,59.0,0.5574,44.259,gpt2,gpt2,causal,0,500,default,one_shot,0.0,0.0,0.4,9.4,34.8,0.0,500,99.6,2.4,,,combined
0.0,evaluation/baselines/gpt2/one_shot_meter_only.json,175.826,181.0,0.9932,0.685,gpt2,gpt2,causal,0,500,default,one_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/gpt2/one_shot_natural_text.json,162.94,163.0,0.8839,11.607,gpt2,gpt2,causal,0,500,default,one_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/gpt2/one_shot_rhyme_only.json,96.422,74.5,0.9675,3.255,gpt2,gpt2,causal,0,500,default,one_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/gpt2/zero_shot_combined.json,178.588,183.0,0.851,14.9,gpt2,gpt2,causal,0,500,default,zero_shot,0.0,0.0,0.0,0.0,0.0,0.0,500,5.6,0.0,,,combined
0.0,evaluation/baselines/gpt2/zero_shot_meter_only.json,206.062,204.0,0.9995,0.051,gpt2,gpt2,causal,0,500,default,zero_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/gpt2/zero_shot_natural_text.json,130.364,128.0,0.8984,10.162,gpt2,gpt2,causal,0,500,default,zero_shot,,,,,,,,,,,,natural_text
0.0,evaluation/baselines/gpt2/zero_shot_rhyme_only.json,192.788,192.0,0.981,1.898,gpt2,gpt2,causal,0,500,default,zero_shot,,,,,,,,,,500,0.0,rhyme_only
0.0,evaluation/baselines/gpt2-large/few_shot_combined.json,63.544,64.5,0.5966,40.34,gpt2-large,gpt2-large,causal,0,500,default,few_shot,0.0,0.0,60.6,22.75,29.0,0.0,500,100.0,1.4,,,combined
0.0,evaluation/baselines/gpt2-large/few_shot_meter_only.json,204.92,212.0,0.9974,0.263,gpt2-large,gpt2-large,causal,0,500,default,few_shot,,,,,,,,,,,,meter_only
0.0,evaluation/baselines/gpt2-large/few_shot_natural_text.json,197.594,205.0,0.8938,10.617,gpt2-large,gpt2-large,causal,0,500,default,few_shot,,,,,,,,,,,,natural_text
