model_slug,model_id,model_type_guess,prompt_type,task,split,n_samples_meta,n_scored,n_exact,exact_match_pct,st_rhyme_n_scored,st_rhyme_relaxed_match_pct,st_combined_n_scored,st_combined_pred_parse_pct,st_combined_meter_field_pct,st_combined_rhyme_field_pct,st_combined_end_field_pct,st_combined_caesura_field_pct,st_combined_mean_field_pct,st_combined_all_four_pct,json_path,nt_form_evaluable,nt_form_fail_gold,nt_form_fail_pred,nt_form_relaxed_oov,nt_form_rhyme_denom,nt_form_rhyme_hits,nt_form_rhyme_match_pct,nt_form_rows_scanned,nt_form_stress_hits,nt_form_stress_match_pct,nt_form_syllable_hits,nt_form_syllable_match_pct
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,combined,test,500,500,0,0.0,,,500,18.4,1.2,0.0,10.0,0.0,2.8,0.0,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_combined.json,,,,,,,,,,,,
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_meter_only.json,,,,,,,,,,,,
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,natural_text,test,500,500,0,0.0,,,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_natural_text.json,0,481,497,0,0,0,0.0,500,0,0.0,0,0.0
HuggingFaceTB_SmolLM-360M-Instruct,HuggingFaceTB/SmolLM-360M-Instruct,causal,zero_shot,rhyme_only,test,500,500,0,0.0,500,0.0,,,,,,,,,evaluation/results/baselines/prompt_only/HuggingFaceTB_SmolLM-360M-Instruct/zero_shot_rhyme_only.json,,,,,,,,,,,,
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,combined,test,200,200,0,0.0,,,200,76.5,0.0,0.0,39.5,13.5,13.25,0.0,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_combined.json,,,,,,,,,,,,
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,meter_only,test,200,200,0,0.0,,,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_meter_only.json,,,,,,,,,,,,
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,natural_text,test,200,200,0,0.0,,,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_natural_text.json,0,194,200,0,0,0,0.0,200,0,0.0,0,0.0
Qwen_Qwen2-7B-Instruct,Qwen/Qwen2-7B-Instruct,causal,zero_shot,rhyme_only,test,200,200,0,0.0,200,0.0,,,,,,,,,evaluation/results/baselines/prompt_only/Qwen_Qwen2-7B-Instruct/zero_shot_rhyme_only.json,,,,,,,,,,,,
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,combined,test,500,500,0,0.0,,,500,100.0,0.0,0.0,0.0,0.0,0.0,0.0,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_combined.json,,,,,,,,,,,,
facebook_bart-base,facebook/bart-base,seq2seq,few_shot,meter_only,test,500,500,0,0.0,,,,,,,,,,,evaluation/results/baselines/prompt_only/facebook_bart-base/few_shot_meter_only.json,,,,,,,,,,,,
